Porcentaje finalizado;Tiempo en ms
0;339
1;890
2;1.163
3;1.193
4;1.204
5;1.222
6;1.237
7;1.255
8;1.265
9;1.271
10;1.275
11;1.280
12;1.283
13;1.290
14;1.292
15;1.294
16;1.295
17;1.298
18;1.300
19;1.301
20;1.302
21;1.303
22;1.304
23;1.305
24;1.306
25;1.307
26;1.307
27;1.308
28;1.309
29;1.310
30;1.310
31;1.311
32;1.311
33;1.312
34;1.313
35;1.314
36;1.314
37;1.315
38;1.316
39;1.317
40;1.318
41;1.319
42;1.319
43;1.320
44;1.320
45;1.321
46;1.321
47;1.322
48;1.322
49;1.323
50;1.324
51;1.325
52;1.325
53;1.327
54;1.328
55;1.328
56;1.329
57;1.331
58;1.332
59;1.333
60;1.334
61;1.336
62;1.337
63;1.338
64;1.339
65;1.340
66;1.341
67;1.342
68;1.344
69;1.345
70;1.347
71;1.349
72;1.350
73;1.353
74;1.354
75;1.356
76;1.359
77;1.361
78;1.363
79;1.367
80;1.372
81;1.375
82;1.378
83;1.383
84;1.388
85;1.392
86;1.398
87;1.408
88;1.412
89;1.423
90;1.431
91;1.440
92;1.458
93;1.467
94;1.478
95;1.491
96;1.507
97;1.527
98;1.552
99;1.627
100;2.604
